"zip","coastal"
"69333",FALSE
"69152",FALSE
"68861",FALSE
"89822",FALSE
"89001",FALSE
"03446",FALSE
"03752",FALSE
"07057",FALSE
"07029",FALSE
"07050",FALSE
"07508",FALSE
"87413",FALSE
"88230",FALSE
"87047",FALSE
"88038",FALSE
"12939",FALSE
"12010",FALSE
"13440",FALSE
"11205",FALSE
"14479",FALSE
"10170",FALSE
"11429",FALSE
"14527",FALSE
"13845",FALSE
"10003",FALSE
"10502",FALSE
"14854",FALSE
"11451",FALSE
"11358",FALSE
"14585",FALSE
"28501",FALSE
"28325",FALSE
"27110",FALSE
"28342",FALSE
"27379",FALSE
"27541",FALSE
"58622",FALSE
"58707",FALSE
"44841",FALSE
"02047",FALSE
"70444",FALSE
"48427",TRUE
"02647",TRUE
"64102",FALSE
"69337",FALSE
"01119",FALSE
"89013",FALSE
"20628",TRUE
"58225",FALSE
"88256",FALSE
"27537",FALSE
"28364",FALSE
"68977",FALSE
"74363",FALSE
"08244",FALSE
"07310",FALSE
"97465",TRUE
"97544",FALSE
"11359",FALSE
"29922",FALSE
"38052",FALSE
"13309",FALSE
"78335",FALSE
"84512",FALSE
"05350",FALSE
"18355",FALSE
"98664",FALSE
"26802",FALSE
"26562",FALSE
"25434",FALSE
"97498",TRUE
"54850",TRUE
"54830",FALSE
"82190",FALSE
"35545",FALSE
"36604",FALSE
"35896",FALSE
"99833",FALSE
"99752",FALSE
"99678",FALSE
"99661",FALSE
"99572",FALSE
"99688",FALSE
"99780",FALSE
"99727",FALSE
"86503",FALSE
"85643",FALSE
"86401",FALSE
"85928",FALSE
"85723",FALSE
"85379",FALSE
"71921",FALSE
"72108",FALSE
"75082",FALSE
"78606",FALSE
"78383",FALSE
"76937",FALSE
"57735",FALSE
"84310",FALSE
"84032",FALSE
"84003",FALSE
"84039",FALSE
"84726",FALSE
"84321",FALSE
"84747",FALSE
"84049",FALSE
"84755",FALSE
"05481",FALSE
"05439",FALSE
"05485",FALSE
"24314",FALSE
"24502",FALSE
"05748",FALSE
"20112",FALSE
"24020",FALSE
"24558",FALSE
"24230",FALSE
"23901",FALSE
"23867",FALSE
"24368",FALSE
"98815",FALSE
"98940",FALSE
"98847",FALSE
"98404",FALSE
"98855",FALSE
"98235",FALSE
"25523",FALSE
"25801",FALSE
"26610",FALSE
"26323",FALSE
"25051",FALSE
"26337",FALSE
"24816",FALSE
"25259",FALSE
"54555",FALSE
"54937",FALSE
"23833",FALSE
"54856",FALSE
"54307",FALSE
"54933",FALSE
"24843",FALSE
"82329",FALSE
"83011",FALSE
"82727",FALSE
"00638",FALSE
"00802",FALSE
"98326",TRUE
"85135",FALSE
"99791",FALSE
"44095",TRUE
"35772",FALSE
"07756",FALSE
"29831",FALSE
"54149",FALSE
"01952",TRUE
"48320",FALSE
"03835",FALSE
"04928",FALSE
"60933",FALSE
"04920",FALSE
"32697",FALSE
"33503",FALSE
"29353",FALSE
"15777",FALSE
"23337",FALSE
"78072",FALSE
"16563",FALSE
"37370",FALSE
"10453",FALSE
"13475",FALSE
"87024",FALSE
"98353",TRUE
"36908",FALSE
"35959",FALSE
"85932",FALSE
"85321",FALSE
"71749",FALSE
"94158",FALSE
"96023",FALSE
"06878",TRUE
"33037",TRUE
"95075",FALSE
"32403",TRUE
"30736",FALSE
"32968",FALSE
"83464",FALSE
"83802",FALSE
"33129",TRUE
"30577",FALSE
"50465",FALSE
"31833",FALSE
"42420",FALSE
"60195",FALSE
"62231",FALSE
"42064",FALSE
"40143",FALSE
"30115",FALSE
"46057",FALSE
"70375",FALSE
"70431",FALSE
"71018",FALSE
"71377",FALSE
"04071",FALSE
"04965",FALSE
"04462",FALSE
"04408",FALSE
"04961",FALSE
"04456",FALSE
"04271",FALSE
"21679",FALSE
"01541",FALSE
"02108",FALSE
"02032",FALSE
"49509",FALSE
"49935",FALSE
"48096",FALSE
"48063",FALSE
"48502",FALSE
"49756",FALSE
"49304",FALSE
"48362",FALSE
"55345",FALSE
"55366",FALSE
"55422",FALSE
"55764",FALSE
"38603",FALSE
"39426",FALSE
"38663",FALSE
"38924",FALSE
"38961",FALSE
"38632",FALSE
"39153",FALSE
"65066",FALSE
"65613",FALSE
"64850",FALSE
"64053",FALSE
"63630",FALSE
"63962",FALSE
"65441",FALSE
"65704",FALSE
"63860",FALSE
"59446",FALSE
"59754",FALSE
"59834",FALSE
"59075",FALSE
"68870",FALSE
"02916",FALSE
"69142",FALSE
"68749",FALSE
"03873",FALSE
"03746",FALSE
"08882",FALSE
"72424",FALSE
"72854",FALSE
"94089",FALSE
"95949",FALSE
"93619",FALSE
"93930",FALSE
"95023",FALSE
"92604",FALSE
"95568",FALSE
"93664",FALSE
"93283",FALSE
"94575",FALSE
"91962",FALSE
"90502",FALSE
"94720",FALSE
"90305",FALSE
"96087",FALSE
"81323",FALSE
"80215",FALSE
"81133",FALSE
"81050",FALSE
"81211",FALSE
"06783",FALSE
"06067",FALSE
"06254",FALSE
"34797",FALSE
"33073",FALSE
"33014",FALSE
"32096",FALSE
"32222",FALSE
"31006",FALSE
"30204",FALSE
"31089",FALSE
"30164",FALSE
"31822",FALSE
"31524",FALSE
"31018",FALSE
"31308",FALSE
"83537",FALSE
"83607",FALSE
"83525",FALSE
"83647",FALSE
"61432",FALSE
"60165",FALSE
"62352",FALSE
"61324",FALSE
"61426",FALSE
"61013",FALSE
"60130",FALSE
"46601",FALSE
"46048",FALSE
"46151",FALSE
"46045",FALSE
"46144",FALSE
"46409",FALSE
"51463",FALSE
"52351",FALSE
"50218",FALSE
"50105",FALSE
"50069",FALSE
"50839",FALSE
"50239",FALSE
"66932",FALSE
"67644",FALSE
"42171",FALSE
"40118",FALSE
"42642",FALSE
"40049",FALSE
"42345",FALSE
"40935",FALSE
"41098",FALSE
"71429",FALSE
"71028",FALSE
"70071",FALSE
"70748",FALSE
"05701",FALSE
"24441",FALSE
"24325",FALSE
"22033",FALSE
"24168",FALSE
"78933",FALSE
"24630",FALSE
"24293",FALSE
"98028",FALSE
"98199",TRUE
"99139",FALSE
"98934",FALSE
"25873",FALSE
"26582",FALSE
"25040",FALSE
"25057",FALSE
"25646",FALSE
"24736",FALSE
"25112",FALSE
"24957",FALSE
"53931",FALSE
"26178",FALSE
"54529",FALSE
"53598",FALSE
"25624",FALSE
"25565",FALSE
"82335",FALSE
"82718",FALSE
"25989",FALSE
"00951",FALSE
"00717",FALSE
"37738",FALSE
"35646",FALSE
"36766",FALSE
"93703",FALSE
"99768",FALSE
"82442",FALSE
"53969",FALSE
"52624",FALSE
"59525",FALSE
"59535",FALSE
"33403",FALSE
"65784",FALSE
"39366",FALSE
"01026",FALSE
"31699",FALSE
"81252",FALSE
"79752",FALSE
"78561",FALSE
"98267",FALSE
"08320",FALSE
"07407",FALSE
"87732",FALSE
"88201",FALSE
"87323",FALSE
"88049",FALSE
"10016",FALSE
"12206",FALSE
"11948",FALSE
"14592",FALSE
"12530",FALSE
"10522",FALSE
"11378",FALSE
"13069",FALSE
"14480",FALSE
"10910",FALSE
"10279",FALSE
"28326",FALSE
"28723",FALSE
"27530",FALSE
"27823",FALSE
"27265",FALSE
"28170",FALSE
"28533",FALSE
"28338",FALSE
"28435",FALSE
"58338",FALSE
"58214",FALSE
"43160",FALSE
"45069",FALSE
"44011",FALSE
"43085",FALSE
"43439",FALSE
"44661",FALSE
"74875",FALSE
"74340",FALSE
"74650",FALSE
"97045",FALSE
