"county_fips","lon","lat","area_ha_2001","developed_ha_2001","wetland_ha_2001","wetland_herb_ha_2001","wetland_woody_ha_2001","wetland_riparian_250_ha_2001","wetland_riparian_500_ha_2001","wetland_riparian_750_ha_2001","wetland_riparian_1000_ha_2001","wetland_riparian_1250_ha_2001","wetland_riparian_1500_ha_2001","area_ha_2016","developed_ha_2016","wetland_ha_2016","wetland_herb_ha_2016","wetland_woody_ha_2016","wetland_riparian_250_ha_2016","wetland_riparian_500_ha_2016","wetland_riparian_750_ha_2016","wetland_riparian_1000_ha_2016","wetland_riparian_1250_ha_2016","wetland_riparian_1500_ha_2016","claims_2001_5yr","CRS_2001_5yr","claims_2016_5yr","CRS_2016_5yr","population_2000","income_2000","housing_units_2000","housing_value_2000","population_2016","income_2016","housing_units_2016","housing_value_2016","wetland_2001_2016","wetland_gain","wetland_loss","claims_2001_2016","developed_2001_2016","income_2001_2016","population_2001_2016","housing_units_2001_2016","housing_value_2001_2016","CRS_2001_2016","state_fips","developed_2001_bin1","developed_2001_bin2","developed_2001_bin3","developed_2001_bin4","developed_2016_bin1","developed_2016_bin2","developed_2016_bin3","developed_2016_bin4","developed_2001_2016_bin1","developed_2001_2016_bin2","developed_2001_2016_bin3","developed_2001_2016_bin4","developed_2001_spline1","developed_2001_spline2","developed_2001_spline3","developed_2001_spline4","developed_2016_spline1","developed_2016_spline2","developed_2016_spline3","developed_2016_spline4","developed_2001_2016_spline1","developed_2001_2016_spline2","developed_2001_2016_spline3","developed_2001_2016_spline4","policies_2001","policies_2016","policies_2001_2016"
"04003",-109.7751627,31.8401287,1610317.84517647,5589.89964705882,3608.91105882353,673.814117647059,2935.09694117647,556.432235294118,1271.01635294118,1862.01282352941,2294.34917647059,2570.61882352941,2773.89105882353,1610317.84517647,6596.46317647059,3609.09105882353,672.444705882353,2936.64635294118,556.342235294118,1269.48635294118,1860.48282352941,2292.63917647059,2570.07882352941,2774.07105882353,25777.36,0.4,37370.828,2,117755,32105,51126,80200,126279,48649,60883,143800,0.179999999999836,0.179999999999836,0,11593.468,1006.56352941176,16544,8524,9757,63600,1.6,"04",0,0,0,1,0,0,0,1,0,0,0,0,0.970201333076141,0.0248082033589241,0.00987746576240507,-0.00488700219747049,0.960377711287389,0.0329244885652321,0.0131368338857597,-0.00643903373838048,-0.00982362178875273,0.00811628520630791,0.00325936812335462,-0.00155203154090999,602.6,103.6,-499
"04005",-111.7737277,35.8296919,4833238.79611765,11302.8003529412,13470.8989411765,3855.75988235294,9615.13905882353,4034.84752941176,4693.26670588235,5393.60823529412,6153.77894117647,6919.74176470588,7667.38411764706,4833238.79611765,12782.7892941176,13353.0201176471,3730.58011764706,9622.44,3913.09870588235,4570.16788235294,5270.41941176471,6029.51011764706,6795.92294117647,7549.14529411765,4068.828,4,112099.61,2,116320,38256,53443,124700,140217,57616,65438,261300,-117.878823529414,0,-117.878823529414,108030.782,1479.98894117647,19360,23897,11995,136600,-2,"04",0,0,0,1,0,0,0,1,0,0,0,0,0.906654812018099,0.0767193585723342,0.0309451478269092,-0.0143193184173426,0.894759010886286,0.0862459743927238,0.0348971343435429,-0.0159021196225525,-0.0118958011318133,0.00952661582038958,0.00395198651663367,-0.00158280120520991,291,101.4,-189.6
"04007",-110.8118696,33.7896177,1242016.08670588,4010.68094117647,3727.79576470588,674.470588235294,3053.32517647059,1913.69294117647,2308.11388235294,2572.64047058824,2771.32341176471,2972.42894117647,3172.64717647059,1242016.08670588,4258.90094117647,4114.63447058824,1981.54941176471,2133.08505882353,2297.02164705882,2691.44258823529,2958.12917647059,3157.17211764706,3358.36764705882,3558.49588235294,21657.266,0,20094.22,0,51335,30917,28189,90100,53400,42092,33411,157600,386.838705882354,386.838705882354,0,-1563.046,248.22,11175,2065,5222,67500,0,"04",0,0,1,0,0,0,1,0,0,0,0,0,0.950492439304719,-0.00388183658220754,0.0329209095175301,-0.0165429945491291,0.965595433426826,0.00429721359530034,0.0203214138652263,-0.0102014831051018,0.0151029941221077,0.00817905017750788,-0.0125994956523038,0.00634151144402726,118.6,53.2,-65.4
"04009",-109.8783103,32.9318277,1202014.55505882,3016.37717647059,8447.75894117647,667.079647058823,7780.67929411765,2486.97317647059,2894.11729411765,3317.49141176471,3834.25270588235,4411.91294117647,4954.61364705882,1202014.55505882,3275.39717647059,8744.83623529412,1345.93658823529,7398.89964705882,2769.65047058823,3177.60458823529,3601.24870588235,4118.01,4699.18023529412,5242.87094117647,1138.804,0,42202.938,0,33489,29668,11430,72800,37879,51352,13416,127000,297.077294117647,297.077294117647,0,41064.134,259.02,21684,4390,1986,54200,0,"04",0,0,1,0,0,0,1,0,0,0,0,0,0.799451532850723,-0.0722488271534444,0.154010107524118,-0.0774357818233386,0.856311547179678,-0.0483891223890171,0.109107973499584,-0.054846218232309,0.0568600143289548,0.0238597047644273,-0.0449021340245335,0.0225895635910296,69.2,34.6,-34.6
"04011",-109.2423231,33.2388723,478445.962588236,1648.42835294118,1101.52376470588,195.755647058824,905.768117647059,367.022823529412,519.024,631.045764705882,734.297647058824,803.237647058824,864.464823529412,478445.962588236,1862.62835294118,1109.35376470588,200.035058823529,909.318705882353,367.832823529412,523.704,636.625764705882,741.407647058823,810.347647058824,871.574823529412,350.358,0,0,0,8547,39384,3744,59800,9504,60962,4435,82400,7.82999999999993,7.82999999999993,0,-350.358,214.2,21578,957,691,22600,0,"04",0,1,0,0,0,1,0,0,0,0,0,0,0.274462890534165,-0.262396433827768,0.527911770998533,-0.265433829441716,0.367689632515067,-0.237009967996009,0.477054178287438,-0.239810433389111,0.0932267419809019,0.0253864658317589,-0.0508575927110945,0.0256233960526052,61.2,5.8,-55.4
"04012",-114.038806,33.7276104,1169050.30164706,4234.83176470588,9976.06694117647,2556.49129411765,7419.57564705882,4845.93388235294,6914.81717647059,7939.14,8558.72823529412,9020.90611764706,9347.13917647059,1169050.30164706,4523.55176470588,10113.6165882353,2680.81588235294,7432.80070588235,4928.70247058823,7026.52729411765,8058.80117647059,8686.21658823529,9154.51447058823,9481.80882352941,3402.104,0,7753.212,0,19715,25839,15133,54000,20701,33333,16274,77600,137.549647058824,137.549647058824,0,4351.108,288.72,7494,986,1141,23600,0,"04",0,0,1,0,0,0,1,0,0,0,0,0,0.963909421873323,0.00405188157567029,0.0214837264871974,-0.0107875644978408,0.974220449084049,0.010917561126225,0.012413068937588,-0.00621894319095763,0.0103110272107262,0.00686567955055473,-0.00907065754960945,0.00456862130688316,52,28,-24
"04013",-112.4955335,33.3465408,2389013.49635294,159821.309294118,21229.8910588235,5054.60329411765,16175.2877647059,2725.30870588235,5130.37270588235,7196.11482352941,9048.42882352941,10623.6804705882,11921.3322352941,2389013.49635294,212528.100705882,21032.4758823529,5161.65388235294,15870.822,2626.08352941176,5030.69752941177,7094.45964705882,8934.44364705882,10493.0452941176,11785.7470588235,103596.852,10.394649859944,2021942.19,7.75297445591952,3072149,45358,1250231,122000,4253913,61606,1719157,242700,-197.415176470589,0,-197.415176470589,1918345.338,52706.7914117647,16248,1181764,468926,120700,-2.64167540402445,"04",0,0,0,1,0,0,0,1,0,0,0,0,0.0608079918831342,0.344803180697187,0.312945747242114,0.281443080177565,0.010779217515519,0.151950212016944,0.330376826875119,0.506893743592417,-0.0500287743676152,-0.192852968680242,0.0174310796330052,0.225450663414852,14200.6,10072.6,-4128
"04015",-113.7496891,35.717705,3486293.43,19910.9047058824,11072.7229411765,2289.38011764706,8783.34282352941,4472.44270588235,6225.16411764706,7258.13788235294,7987.43788235294,8533.29,8967.10058823529,3486293.43,21582.3617647059,13689.5827058824,3359.28105882353,10330.3016470588,6884.53376470588,8768.29517647059,9867.86894117647,10603.1089411765,11145.9910588235,11576.1303529412,5790.06,0.833333333333334,23399.848,0,155032,31521,80062,79500,206064,43266,113876,151100,2616.85976470589,2616.85976470589,0,17609.788,1671.45705882353,11745,51032,33814,71600,-0.833333333333334,"04",0,0,0,1,0,0,0,1,0,0,0,0,0.81624159391673,0.147778002643208,0.060930421980403,-0.0249500185403411,0.806674284574635,0.15504689125572,0.0641174997083519,-0.0258386755387068,-0.00956730934209549,0.00726888861251221,0.00318707772794884,-0.000888656998365687,117.2,123.6,6.39999999999999
"04017",-110.3210248,35.3907852,2579384.12717647,6275.77023529412,9345.88447058824,2846.86129411765,6499.02317647059,1203.74082352941,2228.73423529412,3252.05258823529,4330.25258823529,5387.68835294118,6269.39294117647,2579384.12717647,6905.95023529412,9361.36447058824,2880.67058823529,6480.69388235294,1218.59082352941,2243.67423529412,3267.17258823529,4344.92258823529,5402.62835294118,6284.33294117647,5286.428,3,1236.36,0,97470,28569,47413,69200,108705,40054,57753,118800,15.4799999999996,15.4799999999996,0,-4050.068,630.180000000001,11485,11235,10340,49600,-3,"04",0,0,0,1,0,0,0,1,0,0,0,0,0.962420153666128,0.031244387506253,0.0124568758057597,-0.00612141697814059,0.957021143456811,0.0356910400512162,0.014249790359405,-0.00696197386743193,-0.00539901020931688,0.00444665254496323,0.00179291455364521,-0.000840556889291339,187.4,51,-136.4
"04019",-111.7830267,32.1285226,2380005.32435294,48672.6592941176,16272.5647058824,1286.32870588235,14986.236,926.905764705882,2094.40835294118,3434.87576470588,4849.62529411765,6227.69470588235,7476.26188235294,2380005.32435294,56757.8484705882,16276.7047058824,1360.54129411765,14916.1634117647,929.785764705882,2099.35835294118,3441.08576470588,4854.30529411765,6231.92470588235,7480.31188235294,95848.832,10.1327769005188,151147.706,13.6146723646724,843746,36758,366737,102600,1019722,51037,456962,173500,4.13999999999942,4.13999999999942,0,55298.874,8085.1891764706,14279,175976,90225,70900,3.48189546415353,"04",0,0,0,1,0,0,0,1,0,0,0,0,0.558004847228129,0.326371415110778,0.146664642267433,-0.031040904606339,0.512190987065428,0.352785697187204,0.161922067184765,-0.0268987514373972,-0.0458138601627002,0.0264142820764264,0.0152574249173321,0.00414215316894187,2816.8,481.4,-2335.4
